Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PlugType,Seats,PriceEuro
Mustang,Ford Mustang Mach-E ER AWD,5.8,180,420,210,410,Yes,Type 2 CCS,4,65900
Seres ,Seres 3,8.9,155,270,193,390,Yes,Type 2 CCS,5,37995
Lexus ,Lexus UX 300e,7.5,160,260,192,150,Yes,Type 2 ,4,47550
Jaguar ,Jaguar I-Pace EV400,4.8,200,365,232,340,Yes,Type 2 CCS,5,82000
Lucid ,Lucid Air Grand Touring,3.2,270,660,167,1380,Yes,Type 2 CCS,4,140000
SEAT ,SEAT Mii Electric,12.3,130,205,158,170,Yes,Type 2 CCS,4,24650
Fiat ,Fiat 500e Hatchback 24 kWh,9.5,135,165,144,260,Yes,Type 2 CCS,4,25000
Volvo ,Volvo C40 Recharge,4.7,180,340,221,440,Yes,Type 2 CCS,5,58000
Porsche ,Porsche Taycan 4S,4,250,375,189,750,Yes,Type 2 CCS,4,110600
Mercedes ,Mercedes EQB 350 4MATIC,6.5,160,340,196,400,Yes,Type 2 CCS,7,60000
Kia ,Kia e-Soul 64 kWh,7.9,167,370,173,350,Yes,Type 2 CCS,5,37545
Mini Cooper,Mini Cooper SE,7.3,150,185,156,260,Yes,Type 2 CCS,4,36200
Fiat ,Fiat 500e Cabrio,9,150,245,152,410,Yes,Type 2 CCS,2,31600
Nissan ,Nissan e-NV200 Evalia,14,123,165,218,170,Yes,Type 2 CCS,7,45173
Volkswagen ,Volkswagen ID.4 Pure Performance,9,160,285,182,410,Yes,Type 2 CCS,5,42190
Tesla ,Tesla Model X Plaid,2.6,262,455,198,680,Yes,Type 2 CCS,4,116990
Renault ,Renault Kangoo Maxi ZE 33,22.4,130,160,194,180,Yes,Type 2 CCS,7,31680
DS ,DS 3 Crossback E-Tense,8.7,150,250,180,330,Yes,Type 2 CCS,5,39990
Kia ,Kia EV6 Standard Range 2WD,8.5,185,320,181,740,Yes,Type 2 CCS,5,44990
MG ,MG Marvel R,7.9,200,340,191,390,Yes,Type 2 CCS,5,40000
Fiat ,Fiat 500e 3+1,9,150,245,152,410,Yes,Type 2 CCS,2,30600
Porsche ,Porsche Taycan 4 Cross Turismo,5.1,220,405,207,850,Yes,Type 2 CCS,4,97399
Lucid ,Lucid Air Pure,4.2,200,540,157,1410,Yes,Type 2 CCS,4,80000
Audi ,Audi Q4 Sportback e-tron 50 quattro,6.2,180,400,192,490,Yes,Type 2 CCS,4,55600
Porsche ,Taycan Plus,5.4,230,460,182,960,Yes,Type 2 CCS,4,89244
Citroen ,Citroen e-SpaceTourer M 50 kWh,12.1,130,185,243,250,Yes,Type 2 CCS,7,51440
